dialogue_prompt_id,category_id,category_title,scenario_id,scenario_title,response_type,minimal_context,dialogue,mcq_ids,challenge_type,rubric_criteria_immediate,rubric_criteria_long_term
11,3,Students with inappropriate verbal behavior and off-task statements in academic contexts,6,Independent textbook activities with verbal resistance and noise making,long_term,Desi is sitting at his desk in a self-contained classroom working on independent textbook activities.,"TUTOR: Please open your textbook and begin the independent activity.

STUDENT: (Makes a loud buzzing noise) I'm not doing this stupid book.

TUTOR: You need to keep working on the assignment.

STUDENT: Why do I always have to do this? It's not fair and you're always making me do the worst stuff!

TUTOR: Just do your best and focus on the textbook.

STUDENT: Shut up! If you don't leave me alone I'm going to smash this tape recorder!",17,Social-Interpersonal Difficulty,"1. Active Ignoring of Undesirable Behavior: The tutor completely ignores any whining, arguing, or noise-making without offering redirection, reprimands, or verbal acknowledgment of the negative behavior.

2. Specific Behavior-Anchored Praise: The tutor provides explicit praise that specifically names a desirable behavior or accomplishment (rather than generic praise) to reinforce positive engagement.",1. Interval-Based Self-Monitoring Routine: The long-term plan includes a structured self-monitoring tool (such as an interval-based checklist or audio cue system) where Desi regularly records his own positive interactions.
12,4,Students with non-compliant behavior and difficulty accepting instructions,7,Independent textbook and worksheet tasks,immediate,The student is sitting at a desk to complete independent work using a textbook and a worksheet.,"TUTOR: It is time for your independent work. Please open your textbook and complete the worksheet.

STUDENT: (Makes loud humming noises and stares at the wall) I don't care about this.

TUTOR: You need to start working.

STUDENT: (Continues humming loudly and taps his pencil on the desk) When is lunch?

TUTOR: Please look at the worksheet.

STUDENT: (Pushes the textbook away and turns his back) No! Leave me alone!",18,Task Resistance,"1. High-Frequency Positive/Neutral Attention: The tutor's response includes frequent positive or neutral statements (e.g., encouragement, conversational check-ins, or affirmations) rather than solely issuing an instruction and waiting.

2. Task Choice and Flexibility: The tutor provides a menu of academic choices and explicitly offers Garth the option to select or change his task.","1. Ongoing Functional Assessment: The long-term plan includes tracking the relationship between Garth's environment and his behaviors to inform and validate future strategies.

2. Proactive Non-Punitive Programming: The long-term plan focuses on proactive, positive interventions (like structured attention and choice) and explicitly avoids punitive or consequence-heavy interactions."
13,4,Students with non-compliant behavior and difficulty accepting instructions,7,Independent textbook and worksheet tasks,long_term,The student is sitting at a desk to complete independent work using a textbook and a worksheet.,"TUTOR: It is time for your independent work. Please open your textbook and complete the worksheet.

STUDENT: (Makes loud humming noises and stares at the wall) I don't care about this.

TUTOR: You need to start working.

STUDENT: (Continues humming loudly and taps his pencil on the desk) When is lunch?

TUTOR: Please look at the worksheet.

STUDENT: (Pushes the textbook away and turns his back) No! Leave me alone!",19,Task Resistance,"1. High-Frequency Positive/Neutral Attention: The tutor's response includes frequent positive or neutral statements (e.g., encouragement, conversational check-ins, or affirmations) rather than solely issuing an instruction and waiting.

2. Task Choice and Flexibility: The tutor provides a menu of academic choices and explicitly offers Garth the option to select or change his task.","1. Ongoing Functional Assessment: The long-term plan includes tracking the relationship between Garth's environment and his behaviors to inform and validate future strategies.

2. Proactive Non-Punitive Programming: The long-term plan focuses on proactive, positive interventions (like structured attention and choice) and explicitly avoids punitive or consequence-heavy interactions."
14,4,Students with non-compliant behavior and difficulty accepting instructions,8,Spelling task assignment,immediate,The student is assigned a spelling task to write definitions for 20 words in an academic setting.,"TUTOR: It is time for spelling. You need to write definitions for 20 words today.

STUDENT: (Makes a loud buzzing noise) I am not doing that.

TUTOR: Please get your pencil and start writing.

STUDENT: Shut up, I don't have to listen to your instructions.

TUTOR: You need to finish your spelling work now.

STUDENT: (Rips the spelling worksheet into pieces and throws it) I said no!",20,Task Resistance,"1. High-Frequency Positive/Neutral Attention: The tutor's response includes frequent positive or neutral statements (e.g., encouragement, conversational check-ins, or affirmations) rather than solely issuing an instruction and waiting.

2. Task Choice and Flexibility: The tutor provides a menu of academic choices and explicitly offers Garth the option to select or change his task.","1. Ongoing Functional Assessment: The long-term plan includes tracking the relationship between Garth's environment and his behaviors to inform and validate future strategies.

2. Proactive Non-Punitive Programming: The long-term plan focuses on proactive, positive interventions (like structured attention and choice) and explicitly avoids punitive or consequence-heavy interactions."
15,4,Students with non-compliant behavior and difficulty accepting instructions,8,Spelling task assignment,long_term,The student is assigned a spelling task to write definitions for 20 words in an academic setting.,"TUTOR: It is time for spelling. You need to write definitions for 20 words today.

STUDENT: (Makes a loud buzzing noise) I am not doing that.

TUTOR: Please get your pencil and start writing.

STUDENT: Shut up, I don't have to listen to your instructions.

TUTOR: You need to finish your spelling work now.

STUDENT: (Rips the spelling worksheet into pieces and throws it) I said no!",21,Task Resistance,"1. High-Frequency Positive/Neutral Attention: The tutor's response includes frequent positive or neutral statements (e.g., encouragement, conversational check-ins, or affirmations) rather than solely issuing an instruction and waiting.

2. Task Choice and Flexibility: The tutor provides a menu of academic choices and explicitly offers Garth the option to select or change his task.","1. Ongoing Functional Assessment: The long-term plan includes tracking the relationship between Garth's environment and his behaviors to inform and validate future strategies.

2. Proactive Non-Punitive Programming: The long-term plan focuses on proactive, positive interventions (like structured attention and choice) and explicitly avoids punitive or consequence-heavy interactions."
16,5,Students who exhibit frustration through crying and self-abusive behavior during long tasks,9,Long reading task presented as a stapled packet,immediate,"Shaun is sitting in his self-contained classroom at the beginning of an academic session, tasked with completing a stapled packet of reading worksheets.","TUTOR: Here is your stapled packet of reading worksheets for the beginning of our session. Please start working on them.

STUDENT: (Stares at the stapled packet of worksheets and begins whining)

TUTOR: Let's just get started on the first page.

STUDENT: (Pushes the packet away, exhibiting off-task behavior, and makes uninterpretable, garbled vocalizations)

TUTOR: Keep trying, you need to finish these worksheets.

STUDENT: (Begins crying loudly, grunting, and engaging in self-abusive behavior)",22,Emotional Distress,"1. Visual Volume Reduction: The tutor explicitly presents only one small portion of the task at a time (e.g., one question or one single page) and avoids referencing or showing the entire packet or total workload.

2. Close Physical Proximity: The tutor explicitly states or implies they are moving very close to Shaun (e.g., sitting right next to him, moving within arm's reach) before or while giving instructions.",1. Ongoing Environmental-Behavioral Assessment: The tutor's long-term plan includes tracking the relationship between environmental variables (like task presentation methods and physical proximity) and Shaun's behavioral responses to proactively adjust interventions.
17,5,Students who exhibit frustration through crying and self-abusive behavior during long tasks,9,Long reading task presented as a stapled packet,long_term,"Shaun is sitting in his self-contained classroom at the beginning of an academic session, tasked with completing a stapled packet of reading worksheets.","TUTOR: Here is your stapled packet of reading worksheets for the beginning of our session. Please start working on them.

STUDENT: (Stares at the stapled packet of worksheets and begins whining)

TUTOR: Let's just get started on the first page.

STUDENT: (Pushes the packet away, exhibiting off-task behavior, and makes uninterpretable, garbled vocalizations)

TUTOR: Keep trying, you need to finish these worksheets.

STUDENT: (Begins crying loudly, grunting, and engaging in self-abusive behavior)",23,Emotional Distress,"1. Visual Volume Reduction: The tutor explicitly presents only one small portion of the task at a time (e.g., one question or one single page) and avoids referencing or showing the entire packet or total workload.

2. Close Physical Proximity: The tutor explicitly states or implies they are moving very close to Shaun (e.g., sitting right next to him, moving within arm's reach) before or while giving instructions.",1. Ongoing Environmental-Behavioral Assessment: The tutor's long-term plan includes tracking the relationship between environmental variables (like task presentation methods and physical proximity) and Shaun's behavioral responses to proactively adjust interventions.
18,5,Students who exhibit frustration through crying and self-abusive behavior during long tasks,10,Receiving instructions from a distance,immediate,Shaun is sitting at his desk in the self-contained classroom while the staff member gives instructions for an academic task from a distance.,"TUTOR: Shaun, I am going to stand over here, a few meters away, to give you the instructions for your academic task.

STUDENT: (Whines and looks away from the task, demonstrating off-task behavior.)

TUTOR: Please look at the paper and tell me what the first question says.

STUDENT: (Makes grunting noises and uninterpretable, garbled vocalizations.)

TUTOR: Just try your best to answer the question.

STUDENT: (Begins crying loudly, making more uninterpretable noise, and engages in self-abusive behavior.)",24,Emotional Distress,"1. Visual Volume Reduction: The tutor explicitly presents only one small portion of the task at a time (e.g., one question or one single page) and avoids referencing or showing the entire packet or total workload.

2. Close Physical Proximity: The tutor explicitly states or implies they are moving very close to Shaun (e.g., sitting right next to him, moving within arm's reach) before or while giving instructions.",1. Ongoing Environmental-Behavioral Assessment: The tutor's long-term plan includes tracking the relationship between environmental variables (like task presentation methods and physical proximity) and Shaun's behavioral responses to proactively adjust interventions.
19,6,Students with off-task 'silly' behavior influenced by peer proximity and task purpose,11,Teacher-directed group activities in music class,immediate,Sammy is participating in a teacher-directed group activity in music class while seated in the front row.,"TUTOR: Let's begin our teacher-directed group activity for music class. Everyone take your seats in the front row; Sammy, sit right here next to your classmates.

STUDENT: (Sits in the front row where there is unavoidable physical contact with the peer next to him) Get away from me!

TUTOR: Let's just focus on the music activity.

STUDENT: (Starts making loud noises instead of participating) Beep beep beep!

TUTOR: Please try to follow along with the group.

STUDENT: (Continues making noises, displays ""silly"" behavior, and makes inappropriate gestures toward the peers sitting closely next to him)",25,Attention/Engagement Failure,"1. Spatial Distancing: The tutor's response must include a specific adjustment to Sammy's physical environment or seating arrangement to ensure distance from peers.

2. Purposeful Task Modification: The tutor must modify or reframe the academic task so that it results in a clear, purposeful product intended for an audience (e.g., creating a puzzle or game for a classmate).

3. Cued Self-Monitoring: The tutor must implement a structured self-monitoring system that uses a frequent cue (e.g., a timer, bell, or signal) prompting Sammy to record his own behavior.",4. Proactive Functional Assessment: The long-term plan must include conducting functional assessments to identify specific environmental triggers prior to implementing or adjusting behavior management programs.
20,6,Students with off-task 'silly' behavior influenced by peer proximity and task purpose,12,Independent analog spelling tasks,immediate,"Sammy is working independently in spelling class to place words in alphabetical order, write them three times each, and write sentences.","TUTOR: For spelling class today, please place the words from your spelling list in alphabetical order, write them three times each, and make up sentences using the words.

STUDENT: (Looks at the spelling list and begins making noises instead of writing the words in alphabetical order.)

TUTOR: Please keep working on your worksheet.

STUDENT: (Engages in inappropriate talking during the academic activity rather than writing the words three times each.)

TUTOR: You need to finish making up sentences using the words.

STUDENT: (Exhibits completely off-task behavior, making loud noises, inappropriate gestures, and acting ""silly"" in the classroom.)",0026|0027,Attention/Engagement Failure,"1. Spatial Distancing: The tutor's response must include a specific adjustment to Sammy's physical environment or seating arrangement to ensure distance from peers.

2. Purposeful Task Modification: The tutor must modify or reframe the academic task so that it results in a clear, purposeful product intended for an audience (e.g., creating a puzzle or game for a classmate).

3. Cued Self-Monitoring: The tutor must implement a structured self-monitoring system that uses a frequent cue (e.g., a timer, bell, or signal) prompting Sammy to record his own behavior.",4. Proactive Functional Assessment: The long-term plan must include conducting functional assessments to identify specific environmental triggers prior to implementing or adjusting behavior management programs.
21,6,Students with off-task 'silly' behavior influenced by peer proximity and task purpose,12,Independent analog spelling tasks,long_term,"Sammy is working independently in spelling class to place words in alphabetical order, write them three times each, and write sentences.","TUTOR: For spelling class today, please place the words from your spelling list in alphabetical order, write them three times each, and make up sentences using the words.

STUDENT: (Looks at the spelling list and begins making noises instead of writing the words in alphabetical order.)

TUTOR: Please keep working on your worksheet.

STUDENT: (Engages in inappropriate talking during the academic activity rather than writing the words three times each.)

TUTOR: You need to finish making up sentences using the words.

STUDENT: (Exhibits completely off-task behavior, making loud noises, inappropriate gestures, and acting ""silly"" in the classroom.)",28,Attention/Engagement Failure,"1. Spatial Distancing: The tutor's response must include a specific adjustment to Sammy's physical environment or seating arrangement to ensure distance from peers.

2. Purposeful Task Modification: The tutor must modify or reframe the academic task so that it results in a clear, purposeful product intended for an audience (e.g., creating a puzzle or game for a classmate).

3. Cued Self-Monitoring: The tutor must implement a structured self-monitoring system that uses a frequent cue (e.g., a timer, bell, or signal) prompting Sammy to record his own behavior.",4. Proactive Functional Assessment: The long-term plan must include conducting functional assessments to identify specific environmental triggers prior to implementing or adjusting behavior management programs.
