title,authors,year,eric_id,eric_page,abstract,in_dataset
Music and Children with Autism Spectrum Disorder: A Case Study.,Jasna Šulentic Begic; Marija Kolar,2024,EJ1436594,https://eric.ed.gov/?id=EJ1436594,"Autism spectrum disorder is a complex neurological disorder characterized by impairments in communication and social interaction, limited patterns of behavior, interests and activities. Given the different forms of autism spectrum disorder and the fact that no two people are the same, an individual approach to each individual is required. Musical ability is one of the special talents that a child with an autism spectrum disorder can have. Such a child should be allowed to practice music. As a therapy, music therapy has proven to be effective in working with children with autism spectrum disorder, i.e. it has a positive effect on communication, vocalization, joint attention, eye contact, concentration, cooperation, cognitive functions, social skills, etc. This paper presents the observations obtained through the study case. The aim of the research was to show the behavior of students with autism spectrum disorder in the Music culture class and the impact of music therapy on their",O
Exploring Culturally Responsive Teaching and Student-Created Videos in an At-Risk Middle School Classroom.,"Mackay, Hannah; Strickland, Martha J.",2018,EJ1175683,https://eric.ed.gov/?id=EJ1175683,"As the United States public school classrooms encounter notable shifts in student demographics and increased access to technology, teachers face the dual challenges of cultural and digital differences as they attempt to build relationships with students and develop responsive and relevant instruction. Framed by culturally responsive teaching (CRT), this qualitative study explored how one middle school teacher and his students in two summer school English classes interacted with and responded to novel technology-based instructional approach that sought to connect the students' lives outside of school to the classroom. The findings suggest that involving the students within this culturally responsive teaching approach using student-created videos informs the contribution of both the teacher and the students for connecting home and school contexts with a CRT framework.",
Group Work Oral Participation: Examining Korean Students' Adjustment Process in a US University.,"Kim, Jung Yin",2016,EJ1120643,https://eric.ed.gov/?id=EJ1120643,"This study examines, from a sociocultural perspective, the factors that explain why a group of seven Korean students attending an undergraduate business program in a US university are initially labelled as silent participants when first engaging in group work, and how these factors impacted the students' overall adjustment process. Data came from in-depth interviews and group work observations. ""Discourse system"" is used to categorise how they adapt over the course of a semester, with changes in expressing ideas, holding ground, and self-autonomy. The study showed that while various factors, including the students' English language proficiency, differences in sociocultural values and educational practices, and group work environment were intertwined and informed their group work adjustment process, differences in sociocultural values and educational practices played the most important role in their adjustment process. Regardless of their length of stay in the US, gender,",
The Impact of Philosophical Inquiry Method on Classroom Engagement and Reasoning Skills of Low Achievers.,"Wan Yusoff, Wan Mazwati",2018,EJ1175677,https://eric.ed.gov/?id=EJ1175677,"This research project attempted to investigate the impact of applying philosophical inquiry method of teaching on classroom engagement and reasoning skills of low achievers. Low achievers are those who have the potential to succeed but lagged behind because of several factors that demotivate them to perform at their highest ability. In this study, low achievers were students who failed or obtained the lowest grades in previous standardized school examination. They were 22 students aged 12-13 years old from a school in Gombak district, Malaysia. The students were observed and video recorded while participating in discussing the questions they had formulated in response to the given stimulus materials. Many assumed and projected that these students would not succeed in school and life; and would not have the intelligence to engage in discussion that employed higher order thinking. However, the findings revealed that when low achievers were given opportunities to voice out their",O
Teacher and Student Use of Gesture and Access to Secondary Mathematics for Students with Learning Disabilities: An Exploratory Study.,"Hord, Casey; Marita, Samantha; Walsh, Jennifer B.; Tomaro, Taylor-Marie; Gordon, Kiyana; Saldanha, Rene L.",2016,EJ1118523,https://eric.ed.gov/?id=EJ1118523,"The researchers conducted an exploratory qualitative case study to describe the gesturing processes of tutors and students when engaging in secondary mathematics. The use of gestures ranged in complexity from simple gestures, such as pointing and moving the pointing finger in an arching motion to demonstrate mathematics relationships within equations (e.g., distributive property), to more elaborate gestures such as using arm movements to demonstrate spatial relationships in multi-step geometry problems. These gestures were used both in isolation and in combination with research-supported special education interventions such as helping students with learning disabilities to organize their cognitive process and diagram problems. Findings from this study are described with regards to the potential role gesturing may provide as a support for students with learning disabilities as they engage in challenging mathematics.",O
"Supporting Low-Achieving EFL Learners: Expectations, Procedure and Significance of Remedial Sessions at a Saudi University.","Alghamdi, Fatimah M. A.; Siddiqui, Ozma",2016,EJ1121576,https://eric.ed.gov/?id=EJ1121576,"This study reports on and investigates an institutionalized remedial approach held by an English language institute (ELI) at a Saudi University in order to support foundation year struggling students who often achieve low grades or fail to pass a certain level of the English language program. The study utilizes semi-structured interviews to address three issues: (1) Screening for low-achieving learners; (2) Remedial sessions' procedure and significance; and (3) Learners' attitudes and conduct during remedial sessions. Thematic analysis of interviews with teachers shows that time limitation and lack of logistical structure lower the effectiveness of remedial sessions in terms of numbers of supported learners and the remedial procedure itself. It was also found that class teachers' role is often lacking in this case-study. Low-achieving learners are rarely referred by their teachers, but instead come on their own to seek support. However, this optional nature of the process resulted in",
Teacher Behavior Unwanted According to Student's Perceptions.,"Yildirim, Isa; Akan, Durdagi; Yalçin, Sinan",2016,EJ1118525,https://eric.ed.gov/?id=EJ1118525,"This study was conducted in the aim of revealing the misbehaviors of the teachers according to the perceptions of the students. In the study, semi-structured interview was done with 8th grade 45 students, 20 males and 25 females, from three secondary school determined through purposive sampling. The interviews were analyzed with content analysis, one of the qualitative research methods. All the data was coded and grouped as sub-theme, theme and main theme. As a result of the analysis, it was determined that misbehaviors of the teachers according to the perceptions of the students was collected under two main themes as relations and learning process. Misbehaviors of the teachers related to the relations was divided into 4 themes as being unfair, violence, communication barriers, characteristics. And violence was divided into two sub-themes as physical and psychological. Misbehaviors of the teachers related learning process was collected under three themes as boring classes, assessment",O
Forms of Fighting: A Micro-Social Analysis of Bullying and In-School Violence.,"Malette, Nicole",2017,EJ1136160,https://eric.ed.gov/?id=EJ1136160,"Current empirical research on youth bullying rarely asks students to describe their violent encounters. This practice conflates incidents of aggression that may actually have different forms and features. In this article I provide the results of a qualitative analysis of retrospective interviews with high school youth about their experiences of in-school violence. I test for and confirm the occurrence of five types of violence: bullying, scapegoating, peer-to-peer honour contests, group fights, and retaliatory violence. My testing method involves analyzing whether the social dynamics, such as offender-victim social status and the ratio of aggressors to victims, identified in theoretical work, occur empirically. I show that there is variability in the social dynamics that map onto the five types of violence, listed above. In ignoring these differences, violence prevention policy and practice runs the risk of prolonging student conflict.",
"Complexities of Shared Ethnicity, Immigrant Education, and Disabilities: Reconceptualizing Multicultural Special Education.","Poon-McBrayer, Kim Fong",2016,EJ1120697,https://eric.ed.gov/?id=EJ1120697,"This article draws insight from a narrative inquiry to examine the complexities of educating immigrant students with disabilities in which language, culture, and disability collide. Issues related to language-in-education policy, teacher preparation, and the proportion and identification of culturally and linguistically diverse students were primarily reviewed within multicultural and multilingual education conceptual frameworks in English speaking countries between English speaking teachers and non-English speaking students. Little is known about potentially more complicated situations such as those in which teachers and students have a shared ethnicity and dialects with different levels of proficiency. This article thus attempts to illustrate and map the complexity based on the insight from a narrative inquiry situated in an inclusive school setting of Hong Kong. Multiple sources of data were included for a thorough understanding of and analyses on the place, temporality, and",O
How Students with Mathematics Learning Disabilities Understands Fraction: A Case from the Indonesian Inclusive School.,"Ikhwanudin, Trisno; Suryadi, Didi",2018,EJ1183434,https://eric.ed.gov/?id=EJ1183434,"This research aims to analyze ways of understanding of students with mathematics learning disabilities when learning fraction. The research was conducted in an Inclusive Junior High School in the West Java Province, Indonesia. This study is qualitative, with the single-case (holistic) designs. The case will focus on three students who suspected of having mathematics learning disabilities when they learn fraction. The data were collected through student tests, observations, document and media analysis, and teacher interview. The data analysis was conducted using interpretational analysis. The results showed that students with mathematics learning disabilities performed two mental acts with corresponding ways of understanding and ways of thinking; those are interpreting and problem-solving. The other interesting findings were: (1) students know the common denominator method in the addition of fractions; however, they incorrectly apply the method; (2) Surprisingly, students used the",
"Radio Waves and Curriculum Pathways: Jamaican ""At Risk"" Learners Construct Media.","Feraria, Paulette J.",2018,EJ1178726,https://eric.ed.gov/?id=EJ1178726,"This paper explores radio play as an alternative space for learning language and literacy for Jamaican students labeled as 'at-risk' learners. Through the creation of a make-believe radio station in the classroom, students developed oral language skills as a necessary precursor for social literacy. They connected reading and writing activities and the simulated classroom radio station promoted the development of learners' self-efficacy. The students' use of the learning space as newscasters, hosts, writers and reporters revealed that those who took risks in learning language and literacy in these spaces subverted the label of 'at-risk-learners' and repositioned themselves as risk-takers in constructing literacy. Pedagogies of enjoyment and empowerment emerged in learners' autonomous spaces as radio play was the catalyst for listening to speak, speaking to write and writing to read in the Radio-Active Classroom setting.",O
Student-Teacher Relationships for Young Children with Autism Spectrum Disorder: Risk and Protective Factors.,"Caplan, Barbara; Feldman, Melanie; Eisenhower, Abbey; Blacher, Jan",2016,ED590535,https://eric.ed.gov/?id=ED590535,"The quality of early student-teacher relationships (STRs) has been shown to predict children's school adjustment, and children with autism spectrum disorder (ASD) are at risk for poor quality STRs. The present study examined 162 children with ASD (ages 4-7) and their teachers to evaluate student, teacher, and classroom characteristics that predicted concurrent and prospective STR quality across one school year. Child oppositional behavior, autism severity and teacher degree predicted changes in student-teacher conflict over a 1-year period, while child social skills and IQ positively predicted change in student-teacher closeness. Teacher preparedness, trainings in ASD, and classroom setting were unrelated to STR quality. Implications for intervention are discussed. [This article was published in ""Journal of Autism and Developmental Disorders"" (EJ1120137).]",
Meta-Talks: How a Supplemental Instructor Fosters Student Reflection through Everyday Data.,"Hallstead, Tracy; Nash, Erin",2020,EJ1252329,https://eric.ed.gov/?id=EJ1252329,"We do not learn through experiences alone; we learn by thinking about our experiences. But after disappointing exam results, students can reflect on their performance in unproductive ways, circulating scripted beliefs about why they did poorly: ""The professor talks too fast,"" ""The test didn't cover the lectures in class,"" ""I'm not smart enough."" At Quinnipiac University, a supplemental instructor used accessible data to guide her first-year Biology students through a process of compelling metacognitive reflection after their tests so that the students could be less reactionary and more proactive in facing subsequent exams. This qualitative case study examines theory and practice regarding this step-by-step method, which can be readily implemented in a variety of college-level programs invested in academic success. [Paper presented at the Northeast Regional Supplemental Instruction (NERSI) Conference (Lowell, MA, Mar 22, 2019).]",O
Verbal and Nonverbal Communication of Students with Severe and Profound Disabilities.,"Tabacaru, Cristina Dumitru",2016,EJ1149462,https://eric.ed.gov/?id=EJ1149462,"The article aims to study ways of achieving human rights by offering everyone a voice, a communicational tool which will allow accessibility and access to quality education for all, regardless of the degree of disability. The main objective of the present study was to describe the profile of communication and study the use of verbal and nonverbal language at students with severe and profound disabilities. The research was conducted on a group of 60 students with severe and profound disabilities, aged 9-15 years old. The proposed objectives were to identify the level of development of verbal language to students with severe and profound disabilities; to highlight arguments justifying the need to use non-verbal communication, to identify the strengths and resources of students; to identify the presence, frequency of nonverbal communication, the palette of manifestations, all ways of expression of students with disabilities. The methodology used was a mixture of observation,",
"Parent, Teacher and Observational Reports of Emotional and Behavioral Problems in Young Autistic Children.","Palmer, Melanie; Tarver, Joanne; Carter Leno, Virginia; Paris Perez, Juan; Frayne, Margot; Slonims, Vicky; Pickles, Andrew; Scott, Stephen; Charman, Tony; Simonoff, Emily",2023,EJ1364311,https://eric.ed.gov/?id=EJ1364311,"Emotional and behavioral problems (EBPs) frequently occur in young autistic children. Discrepancies between parents and other informants are common but can lead to uncertainty in formulation, diagnosis and care planning. This study aimed to explore child and informant characteristics are associated with reported child EBPs across settings. Participants were 83 4-8-year-old autistic children and their parents and teachers in the Autism Spectrum Treatment and Resilience (ASTAR) study. Questionnaires of child EBPs were completed by parents and teachers, and self-reported parenting stress and wellbeing measures were obtained. An observation of parent-child/researcher-child interaction was also completed. Parents reported more EBPs than teachers and parent-teacher agreement was low, particularly for emotional problems. Greater parenting stress and being verbal was associated with more parent- but not teacher-reported EBPs. More observed behaviors that challenge were displayed by minimally",
A Systematic Review and Synthesis of Qualitative Research: The Influence of School Context on Symptoms of Attention Deficit Hyperactivity Disorder.,"Gwernan-Jones, Ruth; Moore, Darren A.; Cooper, Paul; Russell, Abigail Emma; Richardson, Michelle; Rogers, Morwenna; Thompson-Coon, Jo; Stein, Ken; Ford, Tamsin J.; Garside, Ruth",2016,EJ1091976,https://eric.ed.gov/?id=EJ1091976,"This systematic review and synthesis of qualitative research explored contextual factors relevant to non-pharmacological interventions for attention deficit hyperactivity disorder (ADHD) in schools. We conducted meta-ethnography to synthesise 34 studies, using theories of stigma to further develop the synthesis. Studies suggested that the classroom context requiring pupils to sit still, be quiet and concentrate could trigger symptoms of ADHD, and that symptoms could then be exacerbated through informal/formal labelling and stigma, damaged self-perceptions and resulting poor relationships with staff and pupils. Influences of the school context on symptoms of ADHD were often invisible to teachers and pupils, with most attributions made to the individual pupil and/or the pupil's family. We theorise that this ""invisibility"" is at least partly an artefact of stigma, and that the potential for stigma for ADHD to seem ""natural and right"" in the context of schools needs",O
A Responsive Tier 2 Process for a Middle School Student with Behavior Problems.,"McDaniel, Sara C.; Bruhn, Allison L.; Mitchell, Barbara S.",2017,EJ1155977,https://eric.ed.gov/?id=EJ1155977,"Students requiring Tier 2 behavioral supports frequently display behavioral deficits in multiple domains (e.g., emotional symptoms and peer problems). The Tier 2 framework developed by McDaniel, Bruhn, & Mitchell (2015a) is a responsive structure for identifying and intervening at Tier 2. This process is described with a practical case example of a student with multiple areas of risk. Stacking Tier 2 behavioral interventions for students who score in the ""abnormal"" range in multiple areas on the Strengths and Difficulties Questionnaire is described. A description of this process for delivering Tier 2 supports and the results from the case example are presented.",
Unmasking Social Functions: Outcomes from a Retrospective Consecutive Case Series of 19 Applications.,Jasmeen Kaur; Michelle A. Frank-Crawford; John C. Borrero,2026,EJ1494601,https://eric.ed.gov/?id=EJ1494601,"Prior research has identified the potential dangers associated with challenging behavior, specifically self-injurious behavior, and has thus highlighted the need to employ protective procedures to ensure the safety of individuals with self-injurious behavior. Although protective procedures can sometimes suppress responding, some small-n studies suggest they can also elucidate or unmask social functions when the initial functional analysis indicates that challenging behavior is only automatically maintained. However, large-scale studies of functional analysis outcomes indicate that co-occurring automatically and socially maintained challenging behavior is relatively uncommon. We conducted a retrospective consecutive case series study to describe a set of procedures to unmask social functions when the initial functional analysis indicated an automatic function. Results suggest that protective procedures unmasked social functions in 26.32% of cases.",
Dealing with ADHD in a Greek Primary School.,"Pantaleon, Anastasia",2016,EJ1109435,https://eric.ed.gov/?id=EJ1109435,"Attention deficit hyperactivity disorder (ADHD) is a chronic developmental disorder with symptoms of inattention, impulsivity and hyperactivity. The developmental course of the disorder shows that symptoms may be present even from infancy. The aetiology of the disorder may result from many factors, genetic and neurological playing the leading role. Studies have shown that ADHD can coexist with other disorders, mainly learning difficulties. This case study concentrates on a Year 4 pupil of a Greek primary mainstream school, who displayed symptoms of ADHD (hyperactivity and impulsivity) that affected greatly his behaviour inside and out of the classroom, as well as his academic performance (learning difficulties). An Individual Educational Plan was structured by the class teacher and targeted his behaviour. The findings showed that high levels of appropriate behaviours were achieved by the creation of conditions inside the classroom that enforced these forms of acceptable behaviour.",O
"Virtual Reality Based Collaborative Design by Children with High-Functioning Autism: Design-Based Flexibility, Identity, and Norm Construction.","Ke, Fengfeng; Lee, Sungwoong",2016,EJ1117521,https://eric.ed.gov/?id=EJ1117521,"This exploratory case study examined the process and potential impact of collaborative architectural design and construction in an OpenSimulator-based virtual reality (VR) on the social skills development of children with high-functioning autism (HFA). Two children with a formal medical diagnosis of HFA and one typically developing peer, aged 8-11, were purposefully recruited and matched in a five-week, VR-based architectural design project. Participants' virtual behaviors and discourses were observed and archived via screen recording. We conducted qualitative time-series and micro-behavior analyses with the data collected. The findings demonstrated that VR-based collaborative design has awarded children with HFA an opportunity to practice and develop flexibility, identity, and norm construction. The target children's design-based social performance was mediated by the VR environment, the context or structure of design partnership, and the nature of a specific design task.",
"Illuminating the ""Boy Problem"" from Children's and Teachers' Perspectives: A Pilot Study.","Hamilton, Paula Louise; Jones, Louise",2016,EJ1098211,https://eric.ed.gov/?id=EJ1098211,"The apparent educational underperformance of boys has received phenomenal attention worldwide for many years. In the UK, it has led to various government reports and policies aimed at raising boys' achievement. This small-scale qualitative-interpretive pilot study, undertaken in one urban primary school in North Wales, reports the findings from exploring boys', aged six to seven years, perceptions of education. It also presents teachers' perceptions of how boys' learn and what they regard to be visible gender differences in the classroom. The research suggests that although many boys within this age group seemed generally positive about school and learning, certain issues were emerging for some boys that, if not addressed, could result in disengagement and/or underperformance. Factors include: issues related to boys' reading and literacy; boys' preference for screen-based, digital devices; gender binaries in relation to learning styles and behaviours; gender-specific syndromes; and",
Reading Instruction for Students with and at Risk for Emotional and Behavioral Disorders: A Synthesis of Observation Research.,"McKenna, John William; Garwood, Justin; Solis, Michael",2022,EJ1328712,https://eric.ed.gov/?id=EJ1328712,"Observation research can shed light on the degree to which students have access to research-based instruction and intervention. In this systematic review of reading observation research for students with and at risk for emotional and behavioral disorders, we sought to identify trends in the settings and student populations investigated and research methods used, as well as to determine the degree to which this student population has access to research-based reading instruction. Eleven studies meeting selection criteria were identified and coded to extract information that was salient to research questions. Although the extant observation research is limited, findings suggest that concerns raised by (Vaughn et al., Journal of Special Education 36:2-13, 2002) approximately 18 years ago remain. Study limitations, implications for school practice, and areas for future research are discussed.",O
Effective Learning Design of Game-Based 3D Virtual Language Learning Environments for Special Education Students.,"Lan, Yu-Ju; Hsian, Indy Y. T.; Shih, Mei-Feng",2018,EJ1184359,https://eric.ed.gov/?id=EJ1184359,"This current study aimed at creating a 3D virtual environment on Second Life particularly for special education students to enhance their first language, Mandarin, learning in vocabulary and sentence structures. Four students aged between 8 and 9 participated in this research. In addition to their inherent disabilities (mild autism spectrum disorder, attention-deficit hyperactivity disorder, or mild mental retardation), all the four participants suffer from delayed language development. The purpose of the 3- month study was therefore to establish a platform enhancing their learning of Mandarin Chinese. A design-based qualitative design was adopted in this study. The collected data included in-class observation, video clips of learning process, and post-study interviews with the four disabled children. Additionally, parents' comments on their children's oral expression skills at home were also collected. Through a two-cycle investigation, this research proposed six categories of",
Australian Adolescent Boys with Attention Deficit/Hyperactivity Disorder (AD/HD): Teacher and Teaching Factors That Assess the Efficacy of Reducing Unwanted Behaviours within the Classroom Environment.,"Gibbs, Kathryn",2018,EJ1183615,https://eric.ed.gov/?id=EJ1183615,"Students with AD/HD experience difficulty concentrating in the classroom due to unwanted behaviours. This article focuses on what six Australian adolescent boys have to say about teacher and teaching factors that enabled them to regain focus (if distracted) and concentrate on classroom learning. A multiple, instrumental case-study was used to collect data from the boys using semi-structured individual and focus group interviews as well as school reports across a two year period. Findings suggested that interventions including frequent short breaks, humour by the teacher and teachers who operate in a well-structured classroom and who know their subject matter well, were beneficial in reducing unwanted behaviours and resulted in less negative events, thereby making schooling a more positive experience.",
Strategies for Solving Multiplicative Problems Using a Conceptual Model-Based Problem-Solving Approach. A Case Study with a Student with Autism Spectrum Disorder.,Alicia Bruno; Irene Polo-Blanco; Steven Van Vaerenbergh; Raúl Fernández-Cobos; María José González-López,2024,EJ1445578,https://eric.ed.gov/?id=EJ1445578,"This study examines the multiplicative problem-solving strategies used by a 14-year-old student with autism spectrum disorder and intellectual disabilities during an instructional process based on the Conceptual Model-based Problem Solving (COMPS) approach. The instruction aimed to enhance conceptual comprehension of problem-solving by the use of model diagrams representing mathematical relations involved in word problems. These diagrams aid in selecting the appropriate operation for each type of multiplicative problem, including equal-groups, multiplicative comparison, and combination problems. We further discuss how the instructional process promoted conceptual understanding for the three problem types, highlighting the development of strategies (modeling, counting, and operations) and the pivotal role of the COMPS methodology components in this progression. The results indicate that the student adeptly adopted the COMPS approach, facilitating the transition from informal modeling",O
